@RELATION ARFF_TRAINING

@ATTRIBUTE commonfirstname1 {T, F}
@ATTRIBUTE commonlastname1 {T, F}
@ATTRIBUTE dictionaryfeature1 {T, F}
@ATTRIBUTE killword1 {T, F}
@ATTRIBUTE honorific1 {T, F}
@ATTRIBUTE location1 {T, F}
@ATTRIBUTE prefix1 {T, F}
@ATTRIBUTE suffix1 {T, F}
@ATTRIBUTE authorfirstname1 {T, F}
@ATTRIBUTE authorlastname1 {T, F}
@ATTRIBUTE partofspeech1 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature1 {number, punct, CapLetter, capitalized, AllCaps, other}
@ATTRIBUTE commonfirstname2 {T, F}
@ATTRIBUTE commonlastname2 {T, F}
@ATTRIBUTE dictionaryfeature2 {T, F}
@ATTRIBUTE killword2 {T, F}
@ATTRIBUTE honorific2 {T, F}
@ATTRIBUTE location2 {T, F}
@ATTRIBUTE prefix2 {T, F}
@ATTRIBUTE suffix2 {T, F}
@ATTRIBUTE authorfirstname2 {T, F}
@ATTRIBUTE authorlastname2 {T, F}
@ATTRIBUTE partofspeech2 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature2 {number, punct, CapLetter, capitalized, AllCaps, other}
@ATTRIBUTE commonfirstname3 {T, F}
@ATTRIBUTE commonlastname3 {T, F}
@ATTRIBUTE dictionaryfeature3 {T, F}
@ATTRIBUTE killword3 {T, F}
@ATTRIBUTE honorific3 {T, F}
@ATTRIBUTE location3 {T, F}
@ATTRIBUTE prefix3 {T, F}
@ATTRIBUTE suffix3 {T, F}
@ATTRIBUTE authorfirstname3 {T, F}
@ATTRIBUTE authorlastname3 {T, F}
@ATTRIBUTE partofspeech3 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature3 {number, punct, CapLetter, capitalized, AllCaps, other}
@ATTRIBUTE commonfirstname4 {T, F}
@ATTRIBUTE commonlastname4 {T, F}
@ATTRIBUTE dictionaryfeature4 {T, F}
@ATTRIBUTE killword4 {T, F}
@ATTRIBUTE honorific4 {T, F}
@ATTRIBUTE location4 {T, F}
@ATTRIBUTE prefix4 {T, F}
@ATTRIBUTE suffix4 {T, F}
@ATTRIBUTE authorfirstname4 {T, F}
@ATTRIBUTE authorlastname4 {T, F}
@ATTRIBUTE partofspeech4 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature4 {number, punct, CapLetter, capitalized, AllCaps, other}
@ATTRIBUTE commonfirstname5 {T, F}
@ATTRIBUTE commonlastname5 {T, F}
@ATTRIBUTE dictionaryfeature5 {T, F}
@ATTRIBUTE killword5 {T, F}
@ATTRIBUTE honorific5 {T, F}
@ATTRIBUTE location5 {T, F}
@ATTRIBUTE prefix5 {T, F}
@ATTRIBUTE suffix5 {T, F}
@ATTRIBUTE authorfirstname5 {T, F}
@ATTRIBUTE authorlastname5 {T, F}
@ATTRIBUTE partofspeech5 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature5 {number, punct, CapLetter, capitalized, AllCaps, other}
@ATTRIBUTE classification {0, 1, 2}

@data
T, T, F, F, F, T, F, F, T, T, other, capitalized, F, F, F, F, F, F, F, F, F, F, period, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, period, punct, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, period, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, period, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, ?
F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, period, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, ?
F, F, F, F, F, F, F, F, F, F, period, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, ?
F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, T, F, F, F, T, other, number, ?
F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, ?
F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, ?
F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, ?
F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, T, F, F, F, F, other, capitalized, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, T, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, T, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, T, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, T, T, F, F, F, F, F, F, T, other, capitalized, ?
F, F, F, F, F, T, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, T, T, F, F, F, F, F, F, T, other, capitalized, F, F, T, F, F, F, F, F, T, F, conjunction, other, ?
F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, T, T, F, F, F, F, F, F, T, other, capitalized, F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, T, F, other, other, F, T, T, F, F, F, F, F, F, T, other, capitalized, F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, T, F, F, F, F, F, F, T, T, other, AllCaps, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, T, F, F, F, F, F, F, T, T, other, AllCaps, F, T, T, F, F, F, F, F, T, T, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, T, F, F, F, F, F, F, T, T, other, AllCaps, F, T, T, F, F, F, F, F, T, T, other, other, F, F, T, F, F, F, F, F, T, F, article, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, T, F, F, F, F, F, F, T, T, other, AllCaps, F, T, T, F, F, F, F, F, T, T, other, other, F, F, T, F, F, F, F, F, T, F, article, other, F, T, T, F, F, T, F, F, T, T, other, capitalized, ?
F, T, F, F, F, F, F, F, T, T, other, AllCaps, F, T, T, F, F, F, F, F, T, T, other, other, F, F, T, F, F, F, F, F, T, F, article, other, F, T, T, F, F, T, F, F, T, T, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, T, T, F, F, F, F, F, T, T, other, other, F, F, T, F, F, F, F, F, T, F, article, other, F, T, T, F, F, T, F, F, T, T, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, T, F, article, other, F, T, T, F, F, T, F, F, T, T, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, comma, punct, ?
F, T, T, F, F, T, F, F, T, T, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, comma, punct, F, T, F, F, F, T, F, F, T, T, other, AllCaps, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, comma, punct, F, T, F, F, F, T, F, F, T, T, other, AllCaps, F, F, F, F, F, F, F, F, F, F, comma, punct, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, comma, punct, F, T, F, F, F, T, F, F, T, T, other, AllCaps, F, F, F, F, F, F, F, F, F, F, comma, punct, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, comma, punct, F, T, F, F, F, T, F, F, T, T, other, AllCaps, F, F, F, F, F, F, F, F, F, F, comma, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, T, T, F, F, F, F, F, F, T, other, other, ?
F, T, F, F, F, T, F, F, T, T, other, AllCaps, F, F, F, F, F, F, F, F, F, F, comma, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, conjunction, other, ?
F, F, F, F, F, F, F, F, F, F, comma, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, conjunction, other, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, conjunction, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, conjunction, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, F, F, conjunction, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, T, F, F, F, F, other, capitalized, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, T, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, T, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, T, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, T, F, other, AllCaps, ?
F, F, T, F, F, T, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, T, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, T, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, T, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, T, T, article, other, ?
F, F, T, F, F, F, F, F, T, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, T, T, article, other, F, T, T, F, F, F, F, F, T, T, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, T, T, article, other, F, T, T, F, F, F, F, F, T, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, T, T, article, other, F, T, T, F, F, F, F, F, T, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, T, T, article, other, F, T, T, F, F, F, F, F, T, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, T, F, article, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, T, F, article, other, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, T, F, article, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, T, F, article, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, T, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, T, T, article, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, T, T, article, other, F, F, T, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, T, T, article, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, T, T, article, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, T, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, ?
F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, other, ?
